station;phenomenon;uom;timestart;timeend;value
Weather_Station_ID_1;Temperature_C;Celsius;null;2018-08-24T01:43:03.000+02:00;14.6
Weather_Station_ID_1;Temperature_C;Celsius;null;2018-08-24T02:06:13.000+02:00;14.2
Weather_Station_ID_1;Temperature_C;Celsius;null;2018-08-24T02:31:56.000+02:00;13.8
Weather_Station_ID_1;Temperature_C;Celsius;null;2018-08-24T02:51:56.000+02:00;13.5
Weather_Station_ID_1;Temperature_C;Celsius;null;2018-08-24T03:01:56.000+02:00;13.6
Weather_Station_ID_1;Temperature_C;Celsius;null;2018-08-24T03:21:56.000+02:00;13.4
Weather_Station_ID_1;Temperature_C;Celsius;null;2018-08-24T03:51:56.000+02:00;13.2
Weather_Station_ID_1;Temperature_C;Celsius;null;2018-08-24T04:11:56.000+02:00;12.9
Weather_Station_ID_1;Temperature_C;Celsius;null;2018-08-24T04:21:56.000+02:00;12.9
Weather_Station_ID_1;Temperature_C;Celsius;null;2018-08-24T05:13:04.000+02:00;12.6
Weather_Station_ID_1;Temperature_C;Celsius;null;2018-08-24T05:31:56.000+02:00;12.5
Weather_Station_ID_1;Temperature_C;Celsius;null;2018-08-24T05:41:56.000+02:00;12.3
Weather_Station_ID_1;Temperature_C;Celsius;null;2018-08-24T06:11:56.000+02:00;11.9
Weather_Station_ID_1;Temperature_C;Celsius;null;2018-08-24T06:41:56.000+02:00;11.7
Weather_Station_ID_1;Temperature_C;Celsius;null;2018-08-24T07:13:04.000+02:00;11.5
Weather_Station_ID_1;Temperature_C;Celsius;null;2018-08-24T07:31:56.000+02:00;11.4
Weather_Station_ID_1;Temperature_C;Celsius;null;2018-08-24T07:43:04.000+02:00;11.4
Weather_Station_ID_1;Temperature_C;Celsius;null;2018-08-24T08:13:04.000+02:00;11.7
Weather_Station_ID_1;Temperature_C;Celsius;null;2018-08-24T08:31:56.000+02:00;12.1
Weather_Station_ID_1;Temperature_C;Celsius;null;2018-08-24T09:01:56.000+02:00;12.8
Weather_Station_ID_1;Temperature_C;Celsius;null;2018-08-24T09:13:04.000+02:00;13.1
Weather_Station_ID_1;Temperature_C;Celsius;null;2018-08-24T10:01:56.000+02:00;13.9
Weather_Station_ID_1;Temperature_C;Celsius;null;2018-08-24T10:13:04.000+02:00;14.2
Weather_Station_ID_1;Temperature_C;Celsius;null;2018-08-24T10:31:57.000+02:00;14.4
Weather_Station_ID_1;Temperature_C;Celsius;null;2018-08-24T11:01:56.000+02:00;15.3
Weather_Station_ID_1;Temperature_C;Celsius;null;2018-08-24T11:43:04.000+02:00;15.9
Weather_Station_ID_1;Temperature_C;Celsius;null;2018-08-24T12:13:04.000+02:00;16.4
Weather_Station_ID_1;Temperature_C;Celsius;null;2018-08-24T12:21:56.000+02:00;16.4
Weather_Station_ID_1;Temperature_C;Celsius;null;2018-08-24T12:31:56.000+02:00;16.7
Weather_Station_ID_1;Temperature_C;Celsius;null;2018-08-24T13:01:57.000+02:00;17.2
Weather_Station_ID_1;Temperature_C;Celsius;null;2018-08-24T13:21:57.000+02:00;16.9
Weather_Station_ID_1;Temperature_C;Celsius;null;2018-08-24T13:51:57.000+02:00;17.6
Weather_Station_ID_1;Temperature_C;Celsius;null;2018-08-24T14:21:57.000+02:00;18
Weather_Station_ID_1;Temperature_C;Celsius;null;2018-08-24T14:41:57.000+02:00;18.1
Weather_Station_ID_1;Temperature_C;Celsius;null;2018-08-24T14:51:57.000+02:00;18.1
Weather_Station_ID_1;Temperature_C;Celsius;null;2018-08-24T15:31:57.000+02:00;18.7
Weather_Station_ID_1;Temperature_C;Celsius;null;2018-08-24T15:43:05.000+02:00;18.9
Weather_Station_ID_1;Temperature_C;Celsius;null;2018-08-24T16:36:15.000+02:00;17.6
Weather_Station_ID_1;Temperature_C;Celsius;null;2018-08-24T16:51:57.000+02:00;17.9
Weather_Station_ID_1;Temperature_C;Celsius;null;2018-08-24T17:21:57.000+02:00;18.1
Weather_Station_ID_1;Temperature_C;Celsius;null;2018-08-24T17:43:05.000+02:00;17.9
Weather_Station_ID_1;Temperature_C;Celsius;null;2018-08-24T18:21:57.000+02:00;13
Weather_Station_ID_1;Temperature_C;Celsius;null;2018-08-24T18:41:57.000+02:00;13.4
Weather_Station_ID_1;Temperature_C;Celsius;null;2018-08-24T19:11:57.000+02:00;14.2
